VID (dec)	Class	Name	Remarks  
35029961	SV	FerbTeachKHIDxuPosMetrology	The xu position teaching data for KHID FERBT of metrology.
			
35029962	SV	FerbTeachKHIDxuPosAligner	The xu position teaching data for KHID FERBT of aligner.
			
35029968 +n	SV	FerbTeachKHIDxdPosLPn	The xd position teaching data for KHID FERBT of load port n.
			(n=1-4)
35029972	SV	FerbTeachKHIDxdPosLLn	The xd position teaching data for KHID FERBT of load lock n.
+n			n=1-2
			N=5-6 (for n=1-2)
35029974	SV	FerbTeachKHIDxdPosCSTGn	The xd position teaching data for KHID FERBT of cooling stage n.
+n			n=1-2
			N=7-8 (for n=1-2)
35029977	SV	FerbTeachKHIDxdPosMetrology	The xd position teaching data for KHID FERBT of metrology.
			
35029978	SV	FerbTeachKHIDxdPosAligner	The xd position teaching data for KHID FERBT of aligner.
			
35029984 +n	SV	FerbParamKHIDSlotLPn	The slot parameter data for KHID FERBT of load port n.
			(n=1-4)
35029988	SV	FerbParamKHIDSlotLLn	The slot parameter data for KHID FERBT of load lock n.
+n			n=1-2
			N=5-6 (for n=1-2)
35029990	SV	FerbParamKHIDSlotCSTGn	The slot parameter data for KHID FERBT of cooling stage n.
+n			n=1-2
			N=7-8 (for n=1-2)
35029993	SV	FerbParamKHIDSlotMetrology	The slot parameter data for KHID FERBT of metrology.
			
35029994	SV	FerbParamKHIDSlotAligner	The slot parameter data for KHID FERBT of aligner.
			
35030000 +n	SV	FerbParamKHIDSdisLPn	The Sdis parameter data for KHID FERBT of load port n.
			(n=1-4)
35030004	SV	FerbParamKHIDSdisLLn	The Sdis parameter data for KHID FERBT of load lock n.
+n			n=1-2
			N=5-6 (for n=1-2)
35030006	SV	FerbParamKHIDSdisCSTGn	The Sdis parameter data for KHID FERBT of cooling stage n.
+n			n=1-2
			N=7-8 (for n=1-2)
35030009	SV	FerbParamKHIDSdisMetrology	The Sdis parameter data for KHID FERBT of metrology.
			
35030010	SV	FerbParamKHIDSdisAligner	The Sdis parameter data for KHID FERBT of aligner.
			
35030016 +n	SV	FerbParamKHIDUOffLPn	The UOff parameter data for KHID FERBT of load port n.
			(n=1-4)
35030020	SV	FerbParamKHIDUOffLLn	The UOff parameter data for KHID FERBT of load lock n.
+n			n=1-2
			N=5-6 (for n=1-2)
35030022	SV	FerbParamKHIDUOffCSTGn	The UOff parameter data for KHID FERBT of cooling stage n.
+n			n=1-2
			N=7-8 (for n=1-2)
35030025	SV	FerbParamKHIDUOffMetrology	The UOff parameter data for KHID FERBT of metrology.
			
35030026	SV	FerbParamKHIDUOffAligner	The UOff parameter data for KHID FERBT of aligner.
			
35030032 +n	SV	FerbParamKHIDLOffLPn	The LOff parameter data for KHID FERBT of load port n.
			(n=1-4)
35030036	SV	FerbParamKHIDLOffLLn	The LOff parameter data for KHID FERBT of load lock n.
+n			n=1-2
			N=5-6 (for n=1-2)
35030038	SV	FerbParamKHIDLOffCSTGn	The LOff parameter data for KHID FERBT of cooling stage n.
+n			n=1-2
			N=7-8 (for n=1-2)
35030041	SV	FerbParamKHIDLOffMetrology	The LOff parameter data for KHID FERBT of metrology.
			
35030042	SV	FerbParamKHIDLOffAligner	The LOff parameter data for KHID FERBT of aligner.
			
35030048 +n	SV	FerbParamKHIDGBefLPn	The GBef parameter data for KHID FERBT of load port n.
			(n=1-4)
35030052	SV	FerbParamKHIDGBefLLn	The GBef parameter data for KHID FERBT of load lock n.
+n			n=1-2
			N=5-6 (for n=1-2)
35030054	SV	FerbParamKHIDGBefCSTGn	The GBef parameter data for KHID FERBT of cooling stage n.
+n			n=1-2
			N=7-8 (for n=1-2)
35030057	SV	FerbParamKHIDGBefMetrology	The GBef parameter data for KHID FERBT of metrology.
			
35030058	SV	FerbParamKHIDGBefAligner	The GBef parameter data for KHID FERBT of aligner.
			
35030064 +n	SV	FerbParamKHIDGAftLPn	The GAft parameter data for KHID FERBT of load port n.
			(n=1-4)
35030068	SV	FerbParamKHIDGAftLLn	The GAft parameter data for KHID FERBT of load lock n.
+n			n=1-2
			N=5-6 (for n=1-2)
35030070	SV	FerbParamKHIDGAftCSTGn	The GAft parameter data for KHID FERBT of cooling stage n.
+n			n=1-2
			N=7-8 (for n=1-2)
35030073	SV	FerbParamKHIDGAftMetrology	The GAft parameter data for KHID FERBT of metrology.
			
35030074	SV	FerbParamKHIDGAftAligner	The GAft parameter data for KHID FERBT of aligner.
			
35030080 +n	SV	FerbParamKHIDPBefLPn	The PBef parameter data for KHID FERBT of load port n.
			(n=1-4)
35030084	SV	FerbParamKHIDPBefLLn	The PBef parameter data for KHID FERBT of load lock n.
+n			n=1-2
			N=5-6 (for n=1-2)
35030086	SV	FerbParamKHIDPBefCSTGn	The PBef parameter data for KHID FERBT of cooling stage n.
+n			n=1-2
			N=7-8 (for n=1-2)
35030089	SV	FerbParamKHIDPBefMetrology	The PBef parameter data for KHID FERBT of metrology.
			
35030090	SV	FerbParamKHIDPBefAligner	The PBef parameter data for KHID FERBT of aligner.
			
35030096 +n	SV	FerbParamKHIDPAftLPn	The PAft parameter data for KHID FERBT of load port n.
			(n=1-4)
35030100	SV	FerbParamKHIDPAftLLn	The PAft parameter data for KHID FERBT of load lock n.
+n			n=1-2
			N=5-6 (for n=1-2)
35030102	SV	FerbParamKHIDPAftCSTGn	The PAft parameter data for KHID FERBT of cooling stage n.
+n			n=1-2
			N=7-8 (for n=1-2)
35030105	SV	FerbParamKHIDPAftMetrology	The PAft parameter data for KHID FERBT of metrology.
			
35030106	SV	FerbParamKHIDPAftAligner	The PAft parameter data for KHID FERBT of aligner.
			
35030112 +n	SV	FerbParamKHIDGWSpdLPn	The GWSpd parameter data for KHID FERBT of load port n.
			(n=1-4)
35030116	SV	FerbParamKHIDGWSpdLLn	The GWSpd parameter data for KHID FERBT of load lock n.
+n			n=1-2
			N=5-6 (for n=1-2)
35030118	SV	FerbParamKHIDGWSpdCSTGn	The GWSpd parameter data for KHID FERBT of cooling stage n.
+n			n=1-2
			N=7-8 (for n=1-2)
35030121	SV	FerbParamKHIDGWSpdMetrology	The GWSpd parameter data for KHID FERBT of metrology.
			
35030122	SV	FerbParamKHIDGWSpdAligner	The GWSpd parameter data for KHID FERBT of aligner.
			
35030128 +n	SV	FerbParamKHIDGASpdLPn	The GASpd parameter data for KHID FERBT of load port n.
			(n=1-4)
35030132	SV	FerbParamKHIDGASpdLLn	The GASpd parameter data for KHID FERBT of load lock n.
+n			n=1-2
			N=5-6 (for n=1-2)
35030134	SV	FerbParamKHIDGASpdCSTGn	The GASpd parameter data for KHID FERBT of cooling stage n.
+n			n=1-2
			N=7-8 (for n=1-2)
35030137	SV	FerbParamKHIDGASpdMetrology	The GASpd parameter data for KHID FERBT of metrology.
			
35030138	SV	FerbParamKHIDGASpdAligner	The GASpd parameter data for KHID FERBT of aligner.
			
35030144 +n	SV	FerbParamKHIDPWSpdLPn	The PWSpd parameter data for KHID FERBT of load port n.
			(n=1-4)
35030148	SV	FerbParamKHIDPWSpdLLn	The PWSpd parameter data for KHID FERBT of load lock n.
+n			n=1-2
			N=5-6 (for n=1-2)
35030150	SV	FerbParamKHIDPWSpdCSTGn	The PWSpd parameter data for KHID FERBT of cooling stage n.
+n			n=1-2
			N=7-8 (for n=1-2)
35030153	SV	FerbParamKHIDPWSpdMetrology	The PWSpd parameter data for KHID FERBT of metrology.
			
35030154	SV	FerbParamKHIDPWSpdAligner	The PWSpd parameter data for KHID FERBT of aligner.
			
35030160 +n	SV	FerbParamKHIDPASpdLPn	The PASpd parameter data for KHID FERBT of load port n.
			(n=1-4)
35030164	SV	FerbParamKHIDPASpdLLn	The PASpd parameter data for KHID FERBT of load lock n.
+n			n=1-2
			N=5-6 (for n=1-2)
35030166	SV	FerbParamKHIDPASpdCSTGn	The PASpd parameter data for KHID FERBT of cooling stage n.
+n			n=1-2
			N=7-8 (for n=1-2)
35030169	SV	FerbParamKHIDPASpdMetrology	The PASpd parameter data for KHID FERBT of metrology.
			
35030170	SV	FerbParamKHIDPASpdAligner	The PASpd parameter data for KHID FERBT of aligner.
			
35030177	SV	FerbParamKHIDyLowArmOffset	The y Low Arm Offset parameter data for KHID FERBT.
			
35030178	SV	FerbParamKHIDuLowArmOffset	The u Low Arm Offset parameter data for KHID FERBT.
			
35030179	SV	FerbParamKHIDaLowArmOffset	The a Low Arm Offset parameter data for KHID FERBT.
			
35030180	SV	FerbParamKHIDzLowArmOffset	The z Low Arm Offset parameter data for KHID FERBT.
			
35031184	SV	BerbSpeedJELXSpdHxPos	The SpdH xPos speed data for JEL BERBT.
			
35031185	SV	BerbSpeedJELXSpdLxPos	The SpdL xPos speed data for JEL BERBT.
			
35031186	SV	BerbSpeedJELXAcclxPos	The Accl xPos speed data for JEL BERBT.
			
35031187	SV	BerbSpeedJELXJerkxPos	The Jerk xPos speed data for JEL BERBT.
			
35031188	SV	BerbSpeedJELXSpdHyPos	The SpdH yPos speed data for JEL BERBT.
			
35031189	SV	BerbSpeedJELXSpdLyPos	The SpdL yPos speed data for JEL BERBT.
			
35031190	SV	BerbSpeedJELXAcclyPos	The Accl yPos speed data for JEL BERBT.
			
35031191	SV	BerbSpeedJELXJerkyPos	The Jerk yPos speed data for JEL BERBT.
			
35031192	SV	BerbSpeedJELXSpdHuPos	The SpdH uPos speed data for JEL BERBT.
			
35031193	SV	BerbSpeedJELXSpdLuPos	The SpdL uPos speed data for JEL BERBT.
			
35031194	SV	BerbSpeedJELXAccluPos	The Accl uPos speed data for JEL BERBT.
			
35031195	SV	BerbSpeedJELXJerkuPos	The Jerk uPos speed data for JEL BERBT.
			
35031196	SV	BerbSpeedJELXSpdHzPos	The SpdH zPos speed data for JEL BERBT.
			
35031197	SV	BerbSpeedJELXSpdLzPos	The SpdL zPos speed data for JEL BERBT.
			
35031198	SV	BerbSpeedJELXAcclzPos	The Accl zPos speed data for JEL BERBT.
			
35031199	SV	BerbSpeedJELXJerkzPos	The Jerk zPos speed data for JEL BERBT.
			
35031296 +(16 x M)	SV	BerbTeachBROrPosRCn-N	The r position teaching data for BRO BERBT of reactor.
+ N			n=1-5
			M=0-4
			M means Position of RC.
			M=0:RC1
			M=1:RC2
			M=2:RC3
			M=3:RC4
			M=4:RC5
			N=0-1
			N means Position of Arm.
			N=0:Arm1
			N=1:Arm2
35031296 +(16 x M)	SV	BerbTeachBROrPosLLR-N	The r position teaching data for BRO BERBT of load lock.
+ N			M=5-8
			M means Position of LL.
			M=5:LL1-1
			M=6:LL1-2
			M=7:LL2-1
			M=8:LL2-2
			R is one of the following strings:
			“1-1” (when M=5)
			“1-2” (when M=6)
			“2-1” (when M=7)
			“2-2” (when M=8)
			N=0-1
			N means Position of Arm
			N=0:Arm1
			N=1:Arm2
35031552 +(16 x M)	SV	BerbTeachBROtPosRCn-N	The t position teaching data for BRO BERBT of reactor.
+ N			n=1-5
			M=0-4
			M means Position of RC.
			M=0:RC1
			M=1:RC2
			M=2:RC3
			M=3:RC4
			M=4:RC5
			N=0-1
			N means Position of Arm.
			N=0:Arm1
			N=1:Arm2
35031552 +(16 x M)	SV	BerbTeachBROtPosLLR-N	The t position teaching data for BRO BERBT of load lock.
+ N			M=5-8
			M means Position of LL.
			M=5:LL1-1
			M=6:LL1-2
			M=7:LL2-1
			M=8:LL2-2
			R is one of the following strings:
			“1-1” (when M=5)
			“1-2” (when M=6)
			“2-1” (when M=7)
			“2-2” (when M=8)
			N=0-1
			N means Position of Arm
			N=0:Arm1
			N=1:Arm2
35031808	SV	BerbTeachBROzuPosRCn-N	The zu position teaching data for BRO BERBT of reactor.
+(16 x M)			n=1-5
+ N			M=0-4
			M means Position of RC.
			M=0:RC1
			M=1:RC2
			M=2:RC3
			M=3:RC4
			M=4:RC5
			N=0-1
			N means Position of Arm.
			N=0:Arm1
			N=1:Arm2
35031808	SV	BerbTeachBROzuPosLLR-N	The zu position teachng data for BRO BERBT of load lock.
+(16 x M)			M=5-8
+ N			M means Position of LL.
			M=5:LL1-1
			M=6:LL1-2
			M=7:LL2-1
			M=8:LL2-2
			R is one of the following strings:
			“1-1” (when M=5)
			“1-2” (when M=6)
			“2-1” (when M=7)
			“2-2” (when M=8)
			N=0-1
			N means Position of Arm
			N=0:Arm1
			N=1:Arm2
35032064 +(16 x M)	SV	BerbTeachBROzdPosRCn-N	The zd position teachng data for BRO BERBT of reactor.
+ N			n=1-5
			M=0-4
			M means Position of RC.
			M=0:RC1
			M=1:RC2
			M=2:RC3
			M=3:RC4
			M=4:RC5
			N=0-1
			N means Position of Arm.
			N=0:Arm1
			N=1:Arm2
35032064 +(16 x M)	SV	BerbTeachBROzdPosLLR-N	The zd position teachng data for BRO BERBT of load lock.
+ N			M=5-8
			M means Position of LL.
			M=5:LL1-1
			M=6:LL1-2
			M=7:LL2-1
			M=8:LL2-2
			R is one of the following strings
			“1-1” (when M=5)
			“1-2” (when M=6)
			“2-1” (when M=7)
			“2-2” (when M=8)
			N=0-1
			N means Position of Arm
			N=0:Arm1
			N=1:Arm2
35032208+X	SV	RCXSuscAngle	The susceptor angle for RC X.
			Range = 0.0 – 359.9 (degrees)
			(X=1-5)
35032224	SV	T1Timer	SECS protocol T1 Timer (Inter-Character Timeout).
			Range is 0.1 to 10.0 (seconds).
35032240	SV	T2Timer	SECS protocol T2 Timer (Protocol Timeout).
			Range is 0.2 to 25.0 (seconds).
35032256	SV	T4Timer	SECS protocol T4 Timer (Inter-Block Timeout).
			Range is 1 to 120 (seconds).
35032320 +n +m*16	SV	RCnCorrectionParamXStartRegion	RCn TAC Correction Parameter X Start Region
			n=1-4
			m=1-9 (X=2-10)
35032832 +n +m*16	SV	RCnCorrectionParamXStartCF	RCn TAC Correction Parameter X Start Correction Factor
			n=1-4
			m=1-9 (X=2-10)
35033344 +n +m*16	SV	RCnTACXStartSetPoint	RCn TACX Start Set Point (this is the temperature setpoint for the TE independent before adding the CF).
			n=1-4
			m=0-3 (X=1-4)
35033600 +n +m*16	SV	RCnTACXTempSetPoint	RCn TACm Temp Set Point (this is the Start setpoint for the TE + Correction Factor for the module) 
			n=1-4
			m=0-3 (X=1-4)
35033856 +n	SV	RCnCurrentCorrectionFactor	RCn Current TAC Correction Factor (the CF is one value applied to all TE’s for a given RC)
			n=1-4
83951632	DVVAL	EventLimit	Limit ID for the variable whose value exceeded monitoring zones.  Validated only when the value exceeded the limit monitoring zones.  
			
83951648	DVVAL	LimitsVariable	VID for the variable whose value exceeded monitoring zones.  Valid only when the value exceeded the limit monitoring zone.
83951664	DVVAL	TransitionType	Defines the direction of the zone transition that has occurred.
			0= transition from lower to upper zone
			1= transition from upper to lower zone
			Validated only when the value exceeded the limit-monitoring zone.
84082704	DVVAL	SpoolTransmitFailure	Conditions of spool send error.
			1=Read error upon spool transmit
			Valid only upon the occurrence of an error.
84148240	DVVAL	AlarmID	"The value is reset and validated upon setting or clearing of an alarm condition and contains the current alarm identification, regardless of whether that alarm is enabled for reporting.  ."
84148256	DVVAL	AlarmStatus	The most recent alarm status.
			0= cleared
			1= set
84148272	DVVAL	AlarmStateMsg	Detailed message related to the most recent alarm state.  
			
84213776	DVVAL	EquipmentConstantID	ID of the equipment constant changed.
84213792	DVVAL	OperatorID	Identification of operator ID.
			Valid in the event the terminal message is accepted.
84213808	DVVAL	PPChangeStatus	The state of the PJ recipe or process recipe.
			1= created
			2= edited
			3= deleted
84213824	DVVAL	PPChangeName	The name of PJ recipe or process recipe that was affected upon the event of the changes.
			
84213856	DVVAL	PPCheck	Contains information notifying the result of verification of received PP data.  
			0= accepted
			1= permission not granted
			2= length error
			3= matrix overflow
			4= PPID not found
			5= mode unsupported
			6= other error
			Valid only upon receipt of PP data.  
84213872	DVVAL	PPCheckMsg	Message describing the result of verification of received PP data.  
			Valid only upon PPCheck=6.
84213888	DVVAL	PPExecName	Name of PJ recipe currently valid. Set at PJ Processing status.
			
84213904	DVVAL	OperatorCommand	The most recent operator command issued by the equipment.  This data variable is valid in the event the operator issues a command to the equipment.  The codes for this variable are equipment-dependent.
			
			’ChangeActiveFolder’
			‘ChangeRcDepo’
			’ChangeRcEtch’
			‘ChangeRcDepoLimit’
			‘ChangeRcEtchLimit’
			‘WaferTransferStart’
			‘WaferTransferStop’
			‘ScriptStart’
			‘ScriptStop’
			‘SetupStart’
			‘SetupStop’
			‘ShutdownStart’
			‘ShutdownStop’
			‘IsolateStart’
			‘IsolateStop’
			’Pause’
			’Resume’
			’Stop’
			’Abort’
			’Terminate’
			‘Reset’
			‘TMAlarmReset’
			‘FERBAlarmReset’
			‘FERBInitialize’
			‘FERBHomePos’
			‘FERBPut’
			‘FERBGet’
			‘FERBMove’
			‘FERBWaferTransfer’
			‘FERBArmReturn’
			‘FERBClamp’
			‘FERBPause’
			‘FERBResume’
			‘FERBAbort’
			‘FERBStop’
			‘MTRAlarmReset’
			‘MTRInitialize’
			‘MTRMove’
			‘MTRAbort’
			‘BERBAlarmReset’
			‘BERBInitialize’
			‘BERBHomePos’
			‘BERBPut’
			‘BERBGet’
			‘BERBMove’
			‘BERBWaferTransfer’
			‘BERBArmReturn’
			‘BERBPause’
			‘BERBResume’
			‘BERBAbort’
			‘BERBStop’
			‘LPAlarmReset’
			‘LPInitialize’
			’LPMap’
			‘LPIn’
			‘LPOut’
			‘LPClamp’
			‘LPUnClamp’
			‘LPDock’
			‘LPUnDock’
			‘LPOpen’
			‘LPClose’
			‘LPAbort’
			‘LPLoadRequest’
			‘LPUnloadRequest’
			‘LPCancelLoad’
			’LPCancelUnload’
			‘LPAMHSRecover’
			‘LPChangeAccess’
			‘LPChangeService’
			‘LPChangeHost’
			‘CarrierIDRead’
			‘CarrierIDWrite’
			‘CarrierTagReadData’
			’CarrierTagWriteData’
			‘UIOSignalON’
			‘UIOSignalOFF’
			’UIOBuzzerON’
			’UIOBuzzerOFF’
			’PMAlarmReset’
			’PMInitialize’
			’LLAlarmReset’
			’LLBackfill’
			’LLPumpDown’
			’LLIsolate’
			’LLBase’
			’LLLeak’
			’LLCycle’
			’LLCycleStop’
			’LLSetPress’
			’LLSetPID’
			’LLAbort’
			’RCReset’
			’RCStart’
			’RCPause’
			’RCResume’
			’RCAbort’
			’RCTimeChange’
			’RCADoChange’
			’RCToChange’
			’RCModeChange’
			’GVAlarmReset’
			’GVOpen’
			’GVClose’
84213920	DVVAL	CommandOption	"Option for Operator Command. E.g. Port number, RC number etc."
			
84213936	DVVAL	PreviousCommand	Command last issued to the equipment.
			
			’ChangeActiveFolder’
			‘ChangeRcDepo’
			’ChangeRcEtch’
			‘ChangeRcDepoLimit’
			‘ChangeRcEtchLimit’
			‘WaferTransferStart’
			‘WaferTransferStop’
			‘ScriptStart’
			‘ScriptStop’
			‘SetupStart’
			‘SetupStop’
			‘ShutdownStart’
			‘ShutdownStop’
			‘IsolateStart’
			‘IsolateStop’
			’Pause’
			’Resume’
			’Stop’
			’Abort’
			’Terminate’
			‘Reset’
			‘TMAlarmReset’
			‘FERBAlarmReset’
			‘FERBInitialize’
			‘FERBHomePos’
			‘FERBPut’
			‘FERBGet’
			‘FERBMove’
			‘FERBWaferTransfer’
			‘FERBArmReturn’
			‘FERBClamp’
			‘FERBPause’
			‘FERBResume’
			‘FERBAbort’
			‘FERBStop’
			‘MTRAlarmReset’
			‘MTRInitialize’
			‘MTRMove’
			‘MTRAbort’
			‘BERBAlarmReset’
			‘BERBInitialize’
			‘BERBHomePos’
			‘BERBPut’
			‘BERBGet’
			‘BERBMove’
			‘BERBWaferTransfer’
			‘BERBArmReturn’
			‘BERBPause’
			‘BERBResume’
			‘BERBAbort’
			‘BERBStop’
			‘LPAlarmReset’
			‘LPInitialize’
			‘LPMap’
			‘LPIn’
			‘LPOut’
			‘LPClamp’
			‘LPUnClamp’
			‘LPDock’
			‘LPUnDock’
			‘LPOpen’
			‘LPClose’
			‘LPAbort’
			‘LPLoadRequest’
			‘LPUnloadRequest’
			‘LPCancelLoad’
			’LPCancelUnload’
			‘LPAMHSRecover’
			‘LPChangeAccess’
			‘LPChangeService’
			‘LPChangeHost’
			‘CarrierIDRead’
			‘CarrierIDWrite’
			‘CarrierTagReadData’
			’CarrierTagWriteData’
			‘UIOSignalON’
			‘UIOSignalOFF’
			’UIOBuzzerON’
			’UIOBuzzerOFF’
			’PMAlarmReset’
			’PMInitialize’
			’LLAlarmReset’
			’LLBackfill’
			’LLPumpDown’
			’LLIsolate’
			’LLBase’
			’LLLeak’
			’LLCycle’
			’LLCycleStop’
			’LLSetPress’
			’LLSetPID’
			’LLAbort’
			’RCReset’
			’RCStart’
			’RCPause’
			’RCResume’
			’RCAbort’
			’RCTimeChange’
			’RCADoChange’
			’RCToChange’
			’RCModeChange’
			’GVAlarmReset’
			’GVOpen’
			’GVClose’
84214032	DVVAL	ProcPPName	PJ recipe name
			
84214048	DVVAL	ProcProRcpName	Process recipe name
			
84214064	DVVAL	ProcRC	Reactor Number
			4-Jan
84214080	DVVAL	ProcRCSeq	A sequence of reactor process in the most recent result of wafer processing.  
			01h=Pre1
			02h=Pre2
			03h=Pre3
			04h=Pre4
			11h=Depo1
			12h=Depo2
			13h=Depo3
			14h=Depo4
			21h=Post1
			22h=Post2
			23h=Post3
			24h=Post4
			31h=First1
			32h=First2
			33h=First3
			34h=First4
			41h=Last1
			42h=Last2
			43h=Last3
			44h=Last4
84214096	DVVAL	ProcRCStepData	Step data in the most recent result of wafer processing.
			"Format: step no. (3),"
			"Step name (10),"
			Set time hhmmsscc(8)
			Actual time hhmmsscc(8)
			cc=1/100 second
84214112	DVVAL	ProcStartTime	The timestamp from the time starting each sequence in the notification of completion of each process.   
			Format: YYYYMMDDhhmmsscc
			cc=1/100 second
			Valid upon the change of RCSeqInformation.
84214128	DVVAL	ProcEndTime	The time each sequence ended in notification of the result of each process.   
			Format: YYYYMMDDhhmmsscc
			cc=1/100 second
			Valid upon the change of RCSeqInformation.  
84214144	DVVAL	ProcEndState	The process end state of the equipment.
			0= successful end
			1= abnormal end
			Valid only upon the change of RCSeqInformation.
84214160	DVVAL	ProcWC	Cassette number for processed wafer.
			Valid only upon the change of RCSeqInformation.
84214176	DVVAL	ProcWS	Cassette slot number for processed wafer.
			Valid only upon the change of RCSeqInformation.
84214192	DVVAL	ProcRealWC	The count of wafers actually processed in the equipment.
			Valid in the event the PRJobState is in the COMPLETED state.
84214208	DVVAL	ProcSetWC	The count of wafers requested for process.
			Valid in the event the PRJobState is in the COMPLETED state.
84214224	DVVAL	ProcRCPrsDataFirst	The initial data of pressure applied to the process RC in the most recent result of wafer processing.
			
84214240	DVVAL	ProcRCPrsDataFinish	The final data of process RC under pressure in the most recent result of wafer processing.
			
84214256	DVVAL	ProcRCPrsDataMax	The maximum data of pressure applied to the process RC in the most recent result of wafer processing.
			
84214272	DVVAL	ProcRCPrsDataMin	The minimum data of pressure applied to the process RC in the most recent result of wafer processing.
			
84214288	DVVAL	ProcRCPrsTime	A period being measured pressure applied to the process RC in the most recent result of wafer processing.  
			Format: hhmmsscc
			cc=1/100 second
84214400	DVVAL	ProcRCDepoCountP	Deposition count P of the most recent processing result.
+16 x p			Format: count (8)
			Accumulate  time hhhhhmmsscc(11)
			Date count starts YYYYMMDD(8)
			Time count starts hhmmsscc(8)
			cc=1/100 second
			"xx=28h-3Bh, p=0-19, P=1-20"
			(for Count1-20)
84214720	DVVAL	ProcRCEtchCountP	Etching count P of the most recent processing result.
+16 x p			Format: count (8)
			Accumulate  time hhhhhmmsscc(11)
			Date count starts YYYYMMDD(8)
			Time count starts hhmmsscc(8)
			cc=1/100 second
			"xx=3Ch-4Fh, p=0-19, P=1-20"
			(for Count1-20)
84215040	DVVAL	ProcData(s)	Contains actual values of each analog and temperature.  See Note[1] for the details.
+16 x yyy			
85283344	DVVAL	ProcData(s)	Contains actual values of each analog and temperature.  See Note [2] for the details.
+16 x yyy			
			
			
			
			
			
			
Al max. value in processing result; 			
TI max. value in processing result; 			
Al mean value in processing result;			
TI mean value in processing result; 			
Al min. value in processing result; 			
TI min. value in processing result; 			
Al set value in processing result; 			
TI set value in processing result; 			
Al deviation value in processing result; 	ProcRCDataSigmaAIn(n=0-63)		
TI deviation value in processing result; 	ProcRCDataSigmaTIn(n=0-31)		
Al max. value in processing result;			
Al mean value in processing result;			
Al min. value in processing result; 			
Al set value in processing result; 			
Al deviation value in processing result; 	ProcRCDataSigmaAIp (p=64-95)		
			
			
			
			
			
			
TI max. value in processing result; 			
TI mean value in processing result; 	ProcRCDataMeanTIn(n=32-63)		
TI min. value in processing result; 			
TI set value in processing result; 			
TI deviation value in processing result; 	ProcRCDataSigmaTIn(n=32-63)		
